RA,DEC,P(S),Fpeak,Fin,RMS,Maj,Min,PA,Maj,Min,PA,Field
9 10 44.866,63 58 34.31,0.014,2.8,2.55,0.142,0,0,19.8,5.33,4.98,19.8,09120+63562J
12 53 43.542,63 58 32.95,0.014,6.5,6.62,0.136,1.2,0,70.7,5.53,5.37,70.7,12540+63562R
10 56 13.766,63 58 32.46,0.014,3.14,3.67,0.152,2.75,1.6,141.1,6.06,5.63,141.1,10540+63562M
8 50 27.228,63 58 31.65,0.014,13.43,14.44,0.182,1.48,1.48,90,5.6,5.6,90,08480+63562J
9 39 24.339,63 58 31.06,0.014,2.12,2.15,0.154,0.96,0.47,89.7,5.49,5.42,89.7,09420+63562J
14 33 40.708,63 58 30.22,0.014,1.59,2.95,0.155,8.35,0.84,85.2,9.95,5.46,85.2,14360+63562M
12 50 54.142,63 58 29.93,0.312,1.25,0.69,0.146,0,0,0,4.05,4.01,0,12480+63562R
12 29 50.15,63 58 29.32,0.014,8.42,8.22,0.137,0.4,0,0.3,5.41,5.26,0.3,12300+63562M
7 56 39.187,63 58 29.17,0.014,2.71,2.59,0.165,1.68,0,92.6,5.66,4.92,92.6,07540+63562J
13 36 39.911,63 58 28.82,0.014,1.23,1.29,0.134,3.43,0,72.1,6.4,4.76,72.1,13360+63562M
15 38 38.739,63 58 28.41,0.552,1.05,1.12,0.151,4.43,0,62.2,6.98,4.43,62.2,15360+63562M
6 53 21.88,63 58 28.09,0.014,1.12,0.86,0.143,0,0,56.9,4.92,4.55,56.9,06540+63562J
11 48 13.083,63 58 28.01,0.014,2.61,2.78,0.134,3.03,0,38.4,6.19,5,38.4,11480+63562M
10 51 31.324,63 58 27.89,0.014,2.67,5.17,0.151,8.17,2.01,80.7,9.79,5.76,80.7,10540+63562M
13 45 37.548,63 58 27.64,0.014,1.95,2.64,0.155,4.79,0.96,80.9,7.22,5.49,80.9,13480+63562M
7 32 10.551,63 58 26.78,0.209,1.02,1.36,0.152,3.14,3.13,1.7,6.25,6.24,1.7,07300+63562J
12 35 41.938,63 58 25.6,0.014,3.75,10,0.136,9.69,4.48,14.4,11.09,7.02,14.4,12360+63562M
14 33 35.81,63 58 25.5,0.014,7.43,40.19,0.155,12.8,9.99,39.1,13.9,11.35,39.1,14360+63562M
14 33 50.698,63 58 25.31,0.266,1.11,11.68,0.154,16.92,16.37,90.4,17.76,17.24,90.4,14360+63562M
13 37 26.072,63 58 24.25,0.014,13.86,15.64,0.142,2.51,1.17,119.2,5.96,5.53,119.2,13360+63562M
8 39 5.918,63 58 23.83,0.014,42.31,50.9,0.154,3.18,1.47,51.6,6.27,5.6,51.6,08420+63562J
9 25 3.47,63 58 23.05,0.014,2.69,2.08,0.142,0,0,20.1,5.26,4.29,20.1,09240+63562J
16 33 50.973,63 58 22.65,0.014,1.92,1.99,0.151,2.81,0,0.6,6.09,4.96,0.6,16360+63562M
9 22 18.782,63 58 21.62,0.033,2.35,2.31,0.177,3.18,0,30,6.27,4.57,30,09240+63562J
15 49 6.691,63 58 21.55,0.014,122.96,127.35,0.143,1.33,0.57,178.3,5.56,5.43,178.3,15480+63562M
10 26 28.258,63 58 20.68,0.025,1.34,0.77,0.153,0,0,1,4.16,4.06,1,10240+63562M
10 21 50.455,63 58 18.99,0.014,1.71,1.66,0.154,1.21,0,138.1,5.53,5.15,138.1,10240+63562M
12 50 7.299,63 58 18.2,0.287,1.42,2.59,0.147,7.68,1.61,139.9,9.39,5.63,139.9,12480+63562R
10 20 24.903,63 58 18.1,0.014,1.84,3.53,0.156,6.57,3.77,74.7,8.51,6.59,74.7,10180+63562M
17 26 45.29,63 58 17.17,0.667,1.1,3.7,0.152,9.94,6.76,112.1,11.31,8.65,112.1,17240+63562R
15 12 57.009,63 58 16.53,0.014,1.28,1.03,0.137,0,0,21.6,5.14,4.55,21.6,15120+63562M
17 38 9.133,63 58 16.43,0.014,5.8,5.94,0.15,2.16,0,14.6,5.81,5.13,14.6,17360+63562M
7 12 41.669,63 58 16.23,0.014,1.83,1.82,0.137,3.1,0,140.6,6.23,4.65,140.6,07120+63562J
13 57 53.661,63 58 15.3,0.014,3.68,3.54,0.15,0.8,0,7.4,5.46,5.14,7.4,14000+63562M
12 53 17.134,63 58 15.1,0.014,12.73,12.93,0.135,1.51,0,179,5.61,5.28,179,12540+63562R
14 33 48.662,63 58 15,0.112,1.1,2.63,0.154,10.18,2.76,42.4,11.52,6.07,42.4,14360+63562M
15 13 47.34,63 58 14.66,0.014,4.35,6.88,0.147,5.47,2.63,158.3,7.68,6.01,158.3,15120+63562M
10 40 46.39,63 58 14.59,0.016,1.08,1.08,0.141,0.47,0.37,0,5.42,5.41,0,10420+63562M
11 48 0.822,63 58 14.49,0.014,1.31,1.46,0.132,4.19,0,14.9,6.83,4.75,14.9,11480+63562M
13 45 30.581,63 58 14.07,0.345,1.07,1.77,0.154,7.11,0,58.5,8.92,5.39,58.5,13480+63562M
14 31 2.046,63 58 14.02,0.014,1.14,0.9,0.138,2.96,0,51.7,6.16,3.77,51.7,14300+63562M
8 10 45.07,63 58 13.78,0.014,1.42,1.17,0.142,0,0,36.4,5.32,4.48,36.4,08120+63562J
10 14 15.377,63 58 13.75,0.243,1.08,1,0.153,2.97,0,61.2,6.16,4.41,61.2,10120+63562M
9 8 17.754,63 58 13.7,0.014,2.71,1.91,0.156,0,0,19.4,5.15,3.98,19.4,09060+63562J
12 14 15.134,63 58 13.26,0.346,1.96,2.84,0.162,5.78,0,9.7,7.91,5.35,9.7,12120+63562M
8 34 1.556,63 58 13.06,0.014,11.57,11.58,0.148,0.82,0,0.1,5.46,5.34,0.1,08360+63562J
16 17 58.636,63 58 12.2,0.014,4.41,5.92,0.132,3.96,2.23,100.9,6.69,5.84,100.9,16180+63562M
10 19 7.442,63 58 11.56,0.127,1.17,1.41,0.141,2.58,2.35,90.9,5.98,5.89,90.9,10180+63562M
16 39 11.484,63 58 11.27,0.014,61.73,65.85,0.152,1.9,0.59,6,5.72,5.43,6,16420+63562M
14 3 56,63 58 11.24,0.014,1.72,1.85,0.153,3.49,0,113.3,6.43,4.88,113.3,14060+63562R
13 50 37.008,63 58 10.87,0.014,17.36,18.07,0.154,1.31,0.81,54.2,5.56,5.46,54.2,13480+63562M
13 3 29.71,63 58 10.04,0.014,6.78,16.27,0.153,8.03,4.82,116,9.67,7.24,116,13060+63562M
16 46 50.713,63 58 9.57,0.014,2.82,2.75,0.141,1.99,0,41,5.75,4.96,41,16480+63562M
15 5 24.095,63 58 8.96,0.014,1.64,1.3,0.134,1.19,0,161.2,5.53,4.16,161.2,15060+63562M
8 34 34.672,63 58 7.75,0.283,1.02,1.44,0.141,6.87,0,47.8,8.74,4.71,47.8,08360+63562J
8 1 30.579,63 58 6.52,0.102,1.87,6.42,0.212,11.21,5.93,121,12.45,8.02,121,08000+63562J
10 14 15.922,63 58 6.13,0.014,1.89,2.33,0.153,4.01,0,14.8,6.73,5.34,14.8,10120+63562M
15 13 48.094,63 58 5.98,0.014,4.62,5.9,0.147,3.91,1.42,175.7,6.67,5.58,175.7,15120+63562M
10 49 2.16,63 58 5.49,0.014,1.24,0.99,0.137,2.62,0,169.6,6,3.89,169.6,10480+63562M
7 25 11.892,63 58 4.75,0.014,1.21,1.25,0.142,4.55,0,119.3,7.06,4.26,119.3,07240+63562J
16 37 0.764,63 58 3.99,0.014,1.35,2.33,0.137,5.86,3.29,102.1,7.97,6.32,102.1,16360+63562M
12 47 15.959,63 58 3.62,0.014,1.82,1.29,0.136,0,0,166.4,4.99,4.13,166.4,12480+63562R
14 23 14.415,63 58 3.62,0.014,1.69,2.66,0.135,4.94,3.2,39.2,7.32,6.28,39.2,14240+63562M
8 0 9.41,63 58 3.5,0.014,6.8,8,0.207,3.01,1.29,142.1,6.18,5.55,142.1,08000+63562J
13 12 39.719,63 58 3.3,0.113,1.29,4.97,0.139,10.86,7.54,52.6,12.13,9.27,52.6,13120+63562M
10 19 12.579,63 58 2.93,0.014,2.16,2.18,0.142,1.87,0,176.7,5.71,5.15,176.7,10180+63562M
13 4 18.523,63 58 2.19,0.551,1.12,1.63,0.148,5.87,0,10.1,7.98,5.35,10.1,13060+63562M
15 30 57.196,63 58 0.52,0.014,3.22,3.22,0.137,2.46,0,32.6,5.93,4.92,32.6,15300+63562M
16 9 35.292,63 58 0.35,0.014,4.21,4.03,0.153,1.5,0,30.1,5.61,4.98,30.1,16120+63562M
16 37 1.732,63 57 59.73,0.014,1.4,2.69,0.137,5.31,5.08,90,7.58,7.41,90,16360+63562M
7 55 10.763,63 57 59.69,0.014,1.16,1.34,0.142,3.94,0,141.2,6.69,5.05,141.2,07540+63562J
8 33 54.38,63 57 58.31,0.014,5.21,5.29,0.15,1.99,0,164.7,5.75,5.16,164.7,08360+63562J
11 18 14.579,63 57 58.31,0.014,75.37,129.95,0.136,6.51,2.48,27.4,8.46,5.94,27.4,11180+63562M
9 48 14.094,63 57 58.26,0.014,2.17,2.16,0.137,3.2,0,6.1,6.28,4.62,6.1,09480+63562J
9 49 46.617,63 57 58.19,0.014,1.82,2.32,0.151,5.7,0,22.5,7.85,4.72,22.5,09480+63562J
11 58 1.71,63 57 57.57,0.014,13.19,23.59,0.152,6.42,3.08,7.6,8.39,6.21,7.6,12000+63562M
15 47 49.256,63 57 56.59,0.208,1.79,1.98,0.139,3.57,0,33.6,6.47,4.98,33.6,15480+63562M
8 40 15.957,63 57 56.44,0.014,1.99,1.65,0.148,0,0,0.1,4.98,4.84,0.1,08420+63562J
11 21 0.729,63 57 56.15,0.353,1.16,0.68,0.153,0,0,172.8,4.89,3.47,172.8,11180+63562M
9 2 38.141,63 57 56.05,0.014,14.1,14.37,0.155,1.57,0,22.7,5.62,5.29,22.7,09000+63562J
10 34 51.719,63 57 55.75,0.014,1.15,1.28,0.138,3.66,0,6.2,6.52,4.98,6.2,10360+63562M
9 0 14.455,63 57 52.8,0.014,3.86,3.87,0.134,1.51,0,179.9,5.61,5.22,179.9,09000+63562J
6 53 49.18,63 57 52.73,0.257,1.02,2.13,0.137,10.78,0,135.5,12.06,5.05,135.5,06540+63562J
7 28 35.165,63 57 52.21,0.014,1.45,0.93,0.144,0,0,17,4.69,3.95,17,07300+63562J
12 35 36.762,63 57 52.16,0.014,1.86,1.49,0.134,0,0,45.5,5.15,4.54,45.5,12360+63562M
11 6 47.738,63 57 51.99,0.014,1.37,1.02,0.134,0,0,16,5.19,4.18,16,11060+63562M
11 48 58.198,63 57 51.82,0.014,2.23,4.65,0.135,8.03,3.23,88.7,9.68,6.29,88.7,11480+63562M
9 24 35.524,63 57 51.03,0.014,1.58,1.5,0.137,1.54,0,165.4,5.61,4.93,165.4,09240+63562J
15 10 35.437,63 57 51.01,0.014,1.88,5.33,0.142,9.6,5.22,46.5,11.02,7.51,46.5,15120+63562M
10 23 24.151,63 57 49.24,0.014,10.26,10.53,0.137,1.69,0,160.9,5.66,5.29,160.9,10240+63562M
9 49 45.866,63 57 48.72,0.014,1.55,1.93,0.151,5.21,0,28.2,7.5,4.82,28.2,09480+63562J
8 29 44.198,63 57 48.28,0.014,1.9,1.72,0.134,2.46,0,147.1,5.93,4.45,147.1,08300+63562R
8 19 31.107,63 57 47.88,0.014,1.56,3.37,0.145,11.29,0,36,12.51,5.04,36,08180+63562R
11 56 5.074,63 57 47.17,0.421,1.03,0.86,0.151,1.93,0,108.6,5.73,4.24,108.6,11540+63562M
12 22 6.411,63 57 47.05,0.132,1.75,1.54,0.153,1.51,0,144,5.61,4.56,144,12240+63562M
16 17 45.371,63 57 46.85,0.014,3.49,4.1,0.133,3.04,1.21,152.2,6.2,5.53,152.2,16180+63562M
12 6 2.895,63 57 46.83,0.016,31.02,33.81,0.5,2.34,0,169.1,5.89,5.4,169.1,12060+63562M
14 54 44.842,63 57 45.62,0.014,3.61,3.27,0.137,0,0,165.6,5.37,4.91,165.6,14540+63562R
10 29 9.891,63 57 44.96,0.014,6.37,7.25,0.136,3.1,0,122.4,6.23,5.33,122.4,10300+63562M
16 36 54.207,63 57 43.53,0.014,1.33,2.17,0.136,5.77,2.58,32.6,7.9,5.98,32.6,16360+63562M
9 1 22.372,63 57 43.21,0.016,1.11,1.99,0.142,6.02,3.55,102.3,8.09,6.46,102.3,09000+63562J
7 11 41.33,63 57 43.14,0.014,1.11,1.29,0.135,6.68,0,14.4,8.59,3.93,14.4,07120+63562J
14 55 54.559,63 57 42.28,0.154,1.18,1.13,0.151,4.23,0,18.3,6.86,4.1,18.3,14540+63562R
9 50 12.491,63 57 42.03,0.272,1.41,1.12,0.157,2.76,0,26.4,6.06,3.79,26.4,09480+63562J
11 58 2.395,63 57 41.42,0.014,2.88,5.77,0.151,6.48,4.35,179.1,8.44,6.93,179.1,12000+63562M
8 45 4.913,63 57 41.22,0.014,1.4,0.95,0.152,0,0,106.7,4.87,4.05,106.7,08480+63562J
10 10 4.769,63 57 41,0.014,11.72,12.17,0.15,1.35,0.63,173.3,5.57,5.44,173.3,10120+63562M
12 49 18.001,63 57 40.83,0.014,32.71,35.36,0.139,1.96,0.98,120.4,5.74,5.49,120.4,12480+63562R
11 59 38.353,63 57 40.6,0.014,10.96,11.53,0.135,1.51,0.89,162,5.61,5.47,162,12000+63562M
7 17 53.396,63 57 40.51,0.014,1.31,1.42,0.135,3.77,0,6.5,6.58,4.79,6.5,07180+63562J
7 10 55.95,63 57 40.26,0.014,1.45,1.24,0.139,1.84,0,60.2,5.7,4.36,60.2,07120+63562J
15 18 38.588,63 57 40.01,0.014,1.06,1.02,0.133,3.2,0,59.1,6.28,4.48,59.1,15180+63562M
10 23 15.43,63 57 39.6,0.014,84.07,94.67,0.137,2.28,1.48,39.1,5.86,5.6,39.1,10240+63562M
11 17 50.882,63 57 38.86,0.014,4.1,4.44,0.136,2.31,0,20.6,5.87,5.38,20.6,11180+63562M
15 38 3.724,63 57 38.27,0.014,1.34,0.97,0.151,1.89,0,175,5.72,3.66,175,15360+63562M
8 27 1.752,63 57 37.48,0.014,87.9,215.2,0.155,7.74,5.3,80.9,9.44,7.56,80.9,08300+63562R
13 37 22.633,63 57 37.29,0.021,1.48,1.82,0.141,4.9,0,26.2,7.29,4.91,26.2,13360+63562M
14 45 38.613,63 57 37.26,0.014,4.28,9.44,0.153,10.33,1.17,16.7,11.65,5.53,16.7,14480+63562R
12 35 7.019,63 57 36.94,0.014,2.26,4.32,0.136,6.57,3.67,167,8.51,6.53,167,12360+63562M
13 41 54.204,63 57 34.41,0.014,1.79,2.98,0.136,5.39,3.39,15.5,7.63,6.37,15.5,13420+63562M
9 42 42.859,63 57 33.65,0.014,2.06,1.91,0.136,2.49,0,170.9,5.95,4.55,170.9,09420+63562J
14 45 37.377,63 57 29.76,0.014,2.46,4.64,0.154,6.07,4.08,37.6,8.13,6.77,37.6,14480+63562R
14 6 20.129,63 57 29.61,0.042,1.33,3.97,0.133,9.81,5.63,32.1,11.2,7.8,32.1,14060+63562R
11 48 9.224,63 57 28.65,0.197,1.07,2.73,0.133,11.45,2.34,23.4,12.66,5.89,23.4,11480+63562M
12 14 2.312,63 57 28.61,0.014,7.01,7.09,0.159,1.91,0,44.2,5.73,5.15,44.2,12120+63562M
17 41 31.029,63 57 28.31,0.014,2.39,5.35,0.134,7.15,4.89,135.4,8.96,7.28,135.4,17420+63562M
15 43 8.7,63 57 28.26,0.014,10.31,10.18,0.137,1.05,0,35,5.5,5.23,35,15420+63562M
11 32 33.235,63 57 27.92,0.014,13.05,13.71,0.166,1.34,1.07,0,5.56,5.5,0,11300+63562M
9 35 28.731,63 57 27.67,0.261,1.08,1.11,0.162,2.88,0,123.7,6.12,4.86,123.7,09360+63562J
10 5 59.047,63 57 27.13,0.014,3.55,3.52,0.137,1.66,0,16.3,5.65,5.12,16.3,10060+63562M
11 18 13.1,63 57 26.44,0.014,28.53,79.96,0.136,9.51,5.16,15.8,10.94,7.47,15.8,11180+63562M
9 51 29.011,63 57 25.09,0.877,1.11,0.92,0.157,3.89,0,32.7,6.65,3.59,32.7,09540+63562M
12 6 3.131,63 57 25.06,0.032,20.8,23.21,0.499,2.75,0,166.3,6.06,5.37,166.3,12060+63562M
17 36 34.705,63 57 24.72,0.014,6.35,9.08,0.133,3.99,3.05,105.9,6.72,6.2,105.9,17360+63562M
17 44 23.762,63 57 23.98,0.014,3.89,3.95,0.155,1.97,0,34.9,5.75,5.16,34.9,17420+63562M
7 11 40.322,63 57 23.84,0.014,1.34,1.67,0.135,7.09,0,0.6,8.91,4.11,0.6,07120+63562J
10 5 42.828,63 57 23.69,0.014,1.81,1.68,0.135,2.4,0,129.6,5.91,4.57,129.6,10060+63562M
13 41 51.988,63 57 22.66,0.014,1.97,4.15,0.136,8.05,3.31,90,9.69,6.34,90,13420+63562M
8 1 27.497,63 57 22.41,0.014,12.29,13.57,0.212,2.31,0.93,49.1,5.87,5.48,49.1,08000+63562J
7 25 2.47,63 57 21.62,0.014,1.51,0.85,0.14,0,0,88.3,4.09,4.04,88.3,07240+63562J
16 37 34.216,63 57 21.55,0.014,1.77,3.11,0.144,8.77,0,30.1,10.3,4.96,30.1,16360+63562M
9 12 14.759,63 57 21.47,0.014,14.93,14.91,0.136,0.67,0,53.4,5.44,5.35,53.4,09120+63562J
17 36 32.945,63 57 21.3,0.014,4.1,6.42,0.133,5.08,2.96,106.8,7.41,6.16,106.8,17360+63562M
8 1 25.225,63 57 21.2,0.014,3.27,5.28,0.212,4.84,3.61,25.6,7.25,6.49,25.6,08000+63562J
7 14 8.285,63 57 21.03,0.014,6.83,7.52,0.154,2.41,0.55,28.1,5.91,5.43,28.1,07120+63562J
16 33 55.035,63 57 20.86,0.014,1.7,2.34,0.152,6.38,0,177.4,8.36,4.81,177.4,16360+63562M
10 56 40.043,63 57 19.58,0.014,1.4,2.12,0.153,7.38,0,132.8,9.15,4.82,132.8,10540+63562M
11 45 31.568,63 57 19.31,0.014,1.56,1.85,0.151,5.75,0,29.2,7.89,4.35,29.2,11480+63562M
14 51 57.331,63 57 19.26,0.014,365.79,378.21,0.152,1.06,0.93,22.6,5.5,5.48,22.6,14540+63562R
14 51 50.636,63 57 18.52,0.631,1.17,0.69,0.153,0,0,89.8,4.13,4.12,89.8,14540+63562R
15 15 47.802,63 57 18.45,0.014,12.4,12.7,0.152,1.61,0,12.9,5.63,5.3,12.9,15180+63562M
14 6 20.765,63 57 18.2,0.014,4.21,5.09,0.133,2.85,2.03,81.4,6.11,5.77,81.4,14060+63562R
16 43 12.626,63 57 17.37,0.126,1.93,1.02,0.141,0,0,12.2,4.4,3.5,12.2,16420+63562M
12 2 37.865,63 57 17.27,0.26,2.68,2.76,0.334,4.86,0,13.1,7.26,4.12,13.1,12000+63562M
14 6 34.4,63 57 15.33,0.014,1.89,2.29,0.133,3.5,1.14,31.7,6.43,5.52,31.7,14060+63562R
11 59 6.122,63 57 14.27,0.014,3.66,3.03,0.138,0,0,50.6,5.1,4.72,50.6,12000+63562M
14 28 43.516,63 57 14.27,0.014,2.4,3.9,0.14,6.19,2.04,5.5,8.21,5.77,5.5,14300+63562M
15 22 16.45,63 57 14.22,0.014,6.83,6.64,0.148,0,0,89.8,5.34,5.31,89.8,15240+63562M
12 51 0.64,63 57 12.35,0.014,117.84,124.42,0.148,1.41,1.12,15.2,5.58,5.52,15.2,12540+63562R
11 48 8.251,63 57 12.28,0.014,10.52,14.04,0.133,4.01,2.08,162.2,6.73,5.79,162.2,11480+63562M
16 9 2.389,63 57 11.74,0.014,6.2,6.34,0.153,0.8,0.78,90,5.46,5.46,90,16120+63562M
14 45 45.75,63 57 10.56,0.079,1.16,1.54,0.152,5.23,0,34.5,7.52,5.12,34.5,14480+63562R
10 23 13.604,63 57 9.23,0.014,21.25,21.39,0.137,0.45,0.43,90.1,5.42,5.42,90.1,10240+63562M
9 22 7.54,63 57 8.25,0.215,1.57,0.92,0.194,0,0,31.7,4.83,3.53,31.7,09240+63562J
12 15 20.796,63 57 8.05,0.516,1.55,0.74,0.168,0,0,90.2,3.77,3.71,90.2,12180+63562M
16 27 25.136,63 57 8.05,0.014,1.83,2,0.153,3.95,0,13,6.69,4.77,13,16300+63562M
17 14 23.93,63 57 8.05,0.014,30.6,36.62,0.161,3.23,1.27,36,6.29,5.55,36,17120+63562M
14 56 28.609,63 57 8,0.014,1.25,0.83,0.154,0,0,92.2,4.51,4.29,92.2,14540+63562R
14 57 45.559,63 57 7.61,0.014,35.47,36.87,0.154,1.33,0.74,14.5,5.56,5.45,14.5,15000+63562M
13 37 27.928,63 57 6.72,0.014,4.33,4.12,0.142,1.83,0,70.1,5.7,4.86,70.1,13360+63562M
15 58 52.77,63 57 6.21,0.014,1.52,5.57,0.138,23.39,0,161.7,24.01,4.44,161.7,16000+63562M
7 14 8.999,63 57 6.08,0.014,1.6,1.32,0.154,1.85,0,34.3,5.71,4.2,34.3,07120+63562J
9 14 4.752,63 57 5.3,0.014,9.18,19.69,0.154,8.06,3.52,22.8,9.7,6.45,22.8,09120+63562J
6 53 37.969,63 57 5.07,0.014,1.37,1.11,0.137,1.47,0,54.8,5.6,4.23,54.8,06540+63562J
15 0 45.696,63 57 4.88,0.014,3.58,7.7,0.136,8.82,2.79,22.8,10.34,6.08,22.8,15000+63562M
14 22 10.445,63 57 4.31,0.014,17.11,17.74,0.149,1.52,0,29.8,5.61,5.39,29.8,14240+63562M
14 28 43.598,63 57 3.43,0.014,1.6,4.3,0.14,10.55,3.79,74.1,11.85,6.6,74.1,14300+63562M
12 30 41.124,63 57 2.44,0.171,1.02,0.89,0.135,0,0,0,5.37,4.73,0,12300+63562M
7 23 1.049,63 57 1.98,0.014,3.64,3.39,0.139,1.22,0,33.7,5.54,4.9,33.7,07240+63562J
15 58 53.161,63 57 0.77,0.014,2.71,5.93,0.138,10.77,0,136.7,12.05,5.29,136.7,16000+63562M
7 23 1.753,63 56 59.98,0.014,4.53,5.08,0.139,2.27,1.43,83.3,5.86,5.58,83.3,07240+63562J
14 29 17.436,63 56 59.57,0.014,1.53,2.76,0.134,4.95,4.76,176.9,7.33,7.2,176.9,14300+63562M
17 11 54.765,63 56 59.44,0.274,1.25,6.35,0.148,12.21,9.68,20.9,13.35,11.08,20.9,17120+63562M
9 51 31.637,63 56 59.37,0.877,1.07,1.45,0.157,6.73,0,37.3,8.63,4.58,37.3,09540+63562M
9 10 26.067,63 56 59.05,0.014,1.52,1.22,0.146,1.79,0,27.2,5.69,4.13,27.2,09120+63562J
10 2 56.684,63 56 58.26,0.014,2.91,3,0.155,1.59,0,164,5.63,5.34,164,10000+63562M
15 37 23.104,63 56 57.85,0.014,12.87,13.46,0.142,1.96,0,36.5,5.74,5.31,36.5,15360+63562M
9 14 3.693,63 56 56.86,0.014,8.87,13.53,0.153,5.93,1.28,51.7,8.02,5.55,51.7,09120+63562J
15 18 53.817,63 56 56.37,0.014,1.29,1.24,0.135,0,0,0.1,5.33,5.28,0.1,15180+63562M
12 50 49.389,63 56 55.83,0.738,1.08,0.88,0.149,4.3,0,26.9,6.9,3.46,26.9,12480+63562R
12 12 24.534,63 56 55.68,0.014,62.22,64.8,0.134,1.28,0.89,16.1,5.55,5.47,16.1,12120+63562M
8 54 24.247,63 56 54.62,0.014,4.19,4.12,0.142,1.17,0,178.8,5.53,5.18,178.8,08540+63562J
8 20 42.434,63 56 53.79,0.014,1.52,1.11,0.155,0,0,21.5,5.06,4.25,21.5,08180+63562R
9 46 38.494,63 56 50.64,0.058,1.11,1.14,0.144,4.03,0,28.2,6.74,4.45,28.2,09480+63562J
11 29 6.487,63 56 49.78,0.014,1.43,7.21,0.161,13.65,8.45,89.5,14.68,10.03,89.5,11300+63562M
7 21 20.693,63 56 48.94,0.014,8.07,7.82,0.155,0.34,0,20.4,5.41,5.23,20.4,07240+63562J
7 50 48.441,63 56 48.85,0.014,1.22,1.04,0.155,2.33,0,17.3,5.88,4.25,17.3,07480+63562J
8 15 26.158,63 56 48.38,0.014,4.06,9.85,0.155,9.03,3.99,155.8,10.52,6.71,155.8,08180+63562R
15 43 15.325,63 56 47.79,0.014,3.93,3.44,0.139,0,0,27.8,5.31,4.81,27.8,15420+63562M
11 29 3.775,63 56 46.19,0.014,8.11,8.71,0.161,1.72,1.16,118.3,5.67,5.52,118.3,11300+63562M
16 2 44.934,63 56 45.97,0.014,8.63,10.29,0.153,3.02,1.54,54.7,6.19,5.61,54.7,16000+63562M
10 19 33.335,63 56 44.1,0.785,1.05,0.97,0.147,3.66,0,148.7,6.53,4.14,148.7,10180+63562M
14 44 22.414,63 56 42.5,0.114,1.1,1.19,0.155,5.9,0,38.8,8,3.92,38.8,14420+63562M
10 42 28.269,63 56 42.31,0.014,1.18,1.22,0.134,4.55,0,1.6,7.06,4.27,1.6,10420+63562M
8 20 0.64,63 56 42.03,0.23,1.21,0.62,0.152,0,0,41.2,4.2,3.51,41.2,08180+63562R
16 21 47.192,63 56 39.94,0.014,2.1,4.67,0.152,6.77,5.18,60.2,8.66,7.48,60.2,16240+63562M
12 1 52.425,63 56 39.8,0.014,22.44,24.58,0.258,2.08,1.14,178.7,5.79,5.52,178.7,12000+63562M
17 38 2.954,63 56 39.38,0.014,1.2,1.11,0.15,1.57,0,0.8,5.62,4.82,0.8,17360+63562M
8 33 44.718,63 56 38.62,0.222,1.11,0.98,0.152,0,0,0.7,5.12,4.98,0.7,08360+63562J
13 3 57.161,63 56 38.17,0.014,7.3,8.4,0.153,2.51,1.6,77.6,5.96,5.63,77.6,13060+63562M
11 26 57.36,63 56 37.98,0.014,2.9,4.28,0.159,6.02,0,22,8.09,5.32,22,11240+63562M
9 5 35.272,63 56 37.61,0.014,24.36,29.26,0.134,3.36,1.08,36.7,6.36,5.51,36.7,09060+63562J
16 46 0.32,63 56 37.29,0.014,4.43,5.45,0.152,4.03,0,160.1,6.74,5.32,160.1,16480+63562M
11 26 58.826,63 56 37.09,0.014,1.5,3.6,0.159,13.32,0,146.5,14.38,4.89,146.5,11240+63562M
11 44 15.694,63 56 36.99,0.014,12.78,13.36,0.152,1.57,0.47,27.1,5.62,5.42,27.1,11420+63562M
9 35 43.89,63 56 36.33,0.014,7.05,15.28,0.16,8.25,3.45,83.8,9.86,6.41,83.8,09360+63562J
9 35 46.297,63 56 35.1,0.014,11.57,21.2,0.16,7.27,2.38,89.2,9.06,5.9,89.2,09360+63562J
9 51 21.463,63 56 35,0.014,96.57,146.39,0.158,5.26,2.28,170.6,7.54,5.86,170.6,09540+63562M
9 57 21.766,63 56 34.58,0.014,1.59,2.38,0.154,4.83,2.72,70.3,7.25,6.05,70.3,10000+63562M
15 28 53.764,63 56 33.87,0.014,13.78,30.28,0.139,6.68,5.14,156.4,8.59,7.46,156.4,15300+63562M
9 14 1.34,63 56 33.04,0.014,11.61,17.58,0.153,4.95,2.68,59.9,7.33,6.03,59.9,09120+63562J
6 53 32.399,63 56 31.39,0.014,1.69,2.02,0.138,3.66,0,131.8,6.53,5.36,131.8,06540+63562J
10 59 32.646,63 56 31.02,0.014,1.1,1.24,0.131,2.8,0.33,3.6,6.08,5.41,3.6,11000+63562M
13 33 37.126,63 56 30.26,0.014,12.84,14.4,0.154,2.59,0.81,5.8,5.99,5.46,5.8,13360+63562M
11 29 10.208,63 56 29.96,0.014,10.98,24.36,0.161,7.78,4.19,79.4,9.47,6.83,79.4,11300+63562M
8 20 4.407,63 56 29.57,0.014,3.67,4.37,0.153,3.34,0.78,158.4,6.35,5.46,158.4,08180+63562R
12 21 42.72,63 56 28.14,0.11,2,1.69,0.158,2.7,0,19.3,6.04,4.08,19.3,12240+63562M
9 8 48.067,63 56 28.07,0.014,10.77,12.21,0.157,2.85,0.45,20.5,6.1,5.42,20.5,09060+63562J
